idx,theta1,theta2,theta3,omega1,omega2,omega3,lambda1
0,0.785997334,2.495765810,1.732182815,-0.485728810,0.128461948,0.293023658,0.27017857
1,-1.726572688,-1.255591202,2.347103537,0.013003583,0.225849421,-0.273576517,0.22875810
2,-3.108507144,2.018335974,1.866540693,-0.301478852,-0.136873049,-0.320593972,0.42500556
3,-0.201470463,-1.237582716,-1.392191763,-0.153938561,0.448124061,0.073332718,0.28890620
4,-1.540198504,-0.345095456,0.028577530,-0.159931933,-0.228475380,0.452039491,0.20564227
5,0.336133493,3.113317471,1.838847518,-0.055521790,0.480394751,0.015522669,0.38268886
6,0.767674091,3.072224621,-1.788766693,0.021166129,0.396540524,0.242767418,0.31139082
7,-2.134948953,0.707106591,-2.865494454,0.080652864,-0.073350496,0.378187859,0.33856488
8,-2.917404386,0.093549138,-0.212333626,-0.088353850,0.422759576,-0.431284648,0.35772798
9,2.621140209,0.811951818,0.088703715,-0.070003138,0.019514820,0.450938196,0.29589649
10,-0.019644768,-1.586409192,-3.067486015,-0.249000753,0.306039147,0.176471200,0.34079060
11,-1.932692697,1.206572381,-1.881141844,0.217085904,0.129622183,0.471560708,0.33461666
12,-0.819726844,-3.118127085,2.073749295,-0.167318541,-0.101724440,-0.297088248,0.32404963
13,-2.171083225,-1.460215402,2.389695383,-0.449295945,-0.287091805,0.415464397,0.32834989
14,0.061517421,2.181207485,0.877868109,0.340168817,-0.387594259,0.103779025,0.28747778
15,1.519090381,-2.566706644,0.258514036,-0.020803505,0.094684870,0.159275007,0.19838754
16,0.048834360,2.333192145,-0.871702890,-0.193340509,0.461350845,-0.034159965,0.33566512
17,0.616908167,-2.769301266,-0.706029620,0.128100855,0.135226184,-0.316110603,0.31402187
18,-1.111894490,-2.197858066,1.987609247,-0.438134582,-0.088483177,0.264030088,0.27910134
19,-0.757461404,3.008059132,0.565434006,0.315221788,0.229989249,-0.386795047,0.39868002
20,0.660087353,0.867057356,1.108668643,0.413354862,0.302036578,0.377691367,0.34518496
21,-2.194161734,-0.375021229,-1.636366506,0.023304153,0.415635435,-0.453347762,0.22434614
22,-0.612620743,-2.533980771,2.939447854,-0.469711166,-0.479784427,-0.247231322,0.40494823
23,-1.790680933,1.079231434,-1.253996552,-0.251430227,-0.312496666,0.067055818,0.17903789
24,2.350393289,1.019224400,-2.314624138,-0.461014159,0.090387868,-0.333988847,0.34525738
25,2.168164071,2.795689450,2.537881885,0.177873709,-0.478924646,-0.189429803,0.39610369
26,0.438057955,-2.227638928,-1.932307218,0.438341287,0.038396380,0.311587403,0.36142014
27,2.688608440,0.328776741,-2.007146153,0.158026082,0.110750786,-0.308747320,0.30823326
28,2.413098596,0.889520507,0.437901671,0.074394748,-0.460313582,0.301664405,0.32190014
29,-0.777305794,-0.559483990,-1.636836169,0.460070917,0.354009071,-0.449290354,0.20974865
30,-2.902469217,2.363850491,-0.202756856,-0.161339917,-0.181996802,-0.387283008,0.21260253
31,0.299300531,-1.117379935,1.579119710,0.126611819,0.297458175,-0.186278528,0.19886471
32,-2.983273525,-0.803082939,-2.950893637,0.362809235,0.297126913,-0.370862059,0.18619186
33,-2.369436801,2.935176450,0.991239064,0.266859157,0.382620720,-0.302717430,0.24879869
34,-0.451005112,0.149163371,2.342427363,0.073641179,0.138749966,0.109334257,0.27510081
35,-0.978852421,0.567314494,1.154121981,-0.403754322,0.161191461,0.131954725,0.25181800
36,-0.908461264,0.119999228,1.666597054,0.323885489,0.303512699,-0.172831792,0.26916989
37,2.570947282,-2.192438516,2.723252057,0.222047333,0.367273388,0.392947758,0.30623260
38,-3.109050254,1.589503191,1.951095970,-0.338487673,-0.473297650,0.150807443,0.19298270
39,-2.282276847,-0.509542959,1.980811941,-0.285323727,0.063709724,0.444804530,0.22248136
